"Ständige und nichtständige Wohnbevölkerung nach institutionellen Gliederungen, Geschlecht, Zivilstand und Altersklasse"

"Jahr"	"Kanton (-) / Bezirk (>>) / Gemeinde (......)"	"Bevölkerungstyp"	"Geschlecht"	"Zivilstand"	"40-44 Jahre"	"45-49 Jahre"	"50-54 Jahre"	"55-59 Jahre"	"60-64 Jahre"
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	78	88	105	104	57
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	20	24	12	19	8
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	3	4	1
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	4	13	17	20	11
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	379	468	460	379	344
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	68	74	52	36	30
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	3	5	15	15	25
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	51	95	95	93	71
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	240	221	211	166	162
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	36	26	25	15	15
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	2	3	7	8	12
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	26	29	46	29	26
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	131	182	154	140	112
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	22	36	15	12	10
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	2	5	3	9
