"Ständige und nichtständige Wohnbevölkerung nach institutionellen Gliederungen, Geschlecht, Zivilstand und Altersklasse"

"Jahr"	"Kanton (-) / Bezirk (>>) / Gemeinde (......)"	"Bevölkerungstyp"	"Geschlecht"	"Zivilstand"	"65-69 Jahre"	"70-74 Jahre"	"75-79 Jahre"	"80-84 Jahre"	"85-89 Jahre"
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	62	44	23	13	5
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	4	2	1	1	1
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	2	3	2	2	2
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	7	3	1	1	0
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	281	227	177	113	66
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	15	14	6	3	3
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	8	15	21	15	18
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	38	24	15	0	1
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	138	109	68	36	22
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	10	3	3	3	1
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	4	3	2	5	6
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	19	14	6	1	0
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	105	84	48	30	12
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	3	4	1	2	0
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	3	4	5	2	2
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	17	10	6	3	1
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	109	69	46	31	12
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	7	2	0	2	0
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	3	7	8	6	4
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	15	8	3	2	0
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	33	16	11	2	8
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	3	2	0	0	0
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	1	0	1	0	3
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	5	2	0	0	0
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	49	47	33	19	10
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	1	0	1	1	1
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	1	0	2	3	4
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	7	8	4	1	1
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	16	15	8	4	2
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	4	1	2	0	0
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	2	1	0	1
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	2	0	0	1	0
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	132	116	67	38	22
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	9	4	3	2	1
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	3	1	7	5	3
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	13	14	5	2	0
"2015"	"......0010 Obfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	136	129	56	43	17
"2015"	"......0010 Obfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	10	1	1	1	1
"2015"	"......0010 Obfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	3	7	5	5	3
"2015"	"......0010 Obfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	24	6	4	3	3
"2015"	"......0011 Ottenbach"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	96	74	37	21	10
"2015"	"......0011 Ottenbach"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	5	2	2	0	0
"2015"	"......0011 Ottenbach"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	2	5	2	4	1
"2015"	"......0011 Ottenbach"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	13	8	6	1	0
"2015"	"......0012 Rifferswil"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	31	14	7	10	2
"2015"	"......0012 Rifferswil"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	2	0	0	0	0
